RecordDate,RecordMonth,CustomerGroup,Location,Revenue
2023-01-18,2023-01-01,Platinum,Location 14,426511440.0
2023-01-18,2023-01-01,Platinum,Location 16,171093480.0
2023-01-18,2023-01-01,Platinum,Location 17,48395070.0
2023-01-18,2023-01-01,Silver,Location 01,159971730.0
2023-01-18,2023-01-01,Silver,Location 02,207827010.0
2023-01-18,2023-01-01,Silver,Location 03,986234910.0
2023-01-18,2023-01-01,Silver,Location 04,858621540.0
2023-01-18,2023-01-01,Silver,Location 06,66154140.0
2023-01-18,2023-01-01,Silver,Location 07,156026400.0
2023-01-18,2023-01-01,Silver,Location 08,12042150.0
2023-01-18,2023-01-01,Silver,Location 09,281211630.0
2023-01-18,2023-01-01,Silver,Location 10,25839300.0
2023-01-18,2023-01-01,Silver,Location 11,67323030.0
2023-01-18,2023-01-01,Silver,Location 12,1600138740.0
2023-01-18,2023-01-01,Silver,Location 13,287781390.0
2023-01-18,2023-01-01,Silver,Location 14,691979580.0
2023-01-18,2023-01-01,Silver,Location 16,411495060.0
2023-01-18,2023-01-01,Silver,Location 17,101529480.0
2023-01-18,2023-01-01,Unranked,Location 01,145550670.0
2023-01-18,2023-01-01,Unranked,Location 02,261544950.0
2023-01-18,2023-01-01,Unranked,Location 03,709880340.0
2023-01-18,2023-01-01,Unranked,Location 04,1155214980.0
2023-01-18,2023-01-01,Unranked,Location 06,949618020.0
2023-01-18,2023-01-01,Unranked,Location 07,101765610.0
2023-01-18,2023-01-01,Unranked,Location 08,1677225900.0
2023-01-18,2023-01-01,Unranked,Location 09,244456500.0
2023-01-18,2023-01-01,Unranked,Location 10,50207460.0
2023-01-18,2023-01-01,Unranked,Location 11,143501040.0
2023-01-18,2023-01-01,Unranked,Location 12,1217686560.0
2023-01-18,2023-01-01,Unranked,Location 13,200947260.0
2023-01-18,2023-01-01,Unranked,Location 14,292337550.0
2023-01-18,2023-01-01,Unranked,Location 16,713613600.0
2023-01-18,2023-01-01,Unranked,Location 17,195651930.0
2023-01-19,2023-01-01,Bronze,Location 01,229332150.0
2023-01-19,2023-01-01,Bronze,Location 02,391424610.0
2023-01-19,2023-01-01,Bronze,Location 03,972825570.0
2023-01-19,2023-01-01,Bronze,Location 04,1124180670.0
2023-01-19,2023-01-01,Bronze,Location 06,210492030.0
2023-01-19,2023-01-01,Bronze,Location 07,238792350.0
2023-01-19,2023-01-01,Bronze,Location 08,80614320.0
2023-01-19,2023-01-01,Bronze,Location 09,405164970.0
2023-01-19,2023-01-01,Bronze,Location 10,18831840.0
2023-01-19,2023-01-01,Bronze,Location 11,203731830.0
2023-01-19,2023-01-01,Bronze,Location 12,1874231790.0
2023-01-19,2023-01-01,Bronze,Location 13,680504910.0
2023-01-19,2023-01-01,Bronze,Location 14,957138360.0
2023-01-19,2023-01-01,Bronze,Location 16,762957090.0
2023-01-19,2023-01-01,Bronze,Location 17,230097600.0
2023-01-19,2023-01-01,Diamond,Location 01,560973510.0
2023-01-19,2023-01-01,Diamond,Location 02,174728820.0
2023-01-19,2023-01-01,Diamond,Location 03,6836729220.0
2023-01-19,2023-01-01,Diamond,Location 04,6220156680.0
2023-01-19,2023-01-01,Diamond,Location 06,5972730.0
2023-01-19,2023-01-01,Diamond,Location 07,1017023430.0
2023-01-19,2023-01-01,Diamond,Location 09,1518690810.0
2023-01-19,2023-01-01,Diamond,Location 10,65686950.0
2023-01-19,2023-01-01,Diamond,Location 11,529536960.0
2023-01-19,2023-01-01,Diamond,Location 12,5431856550.0
2023-01-19,2023-01-01,Diamond,Location 13,2956879530.0
2023-01-19,2023-01-01,Diamond,Location 14,3329225610.0
2023-01-19,2023-01-01,Diamond,Location 15,2292322650.0
2023-01-19,2023-01-01,Diamond,Location 16,1272417420.0
2023-01-19,2023-01-01,Diamond,Location 17,573051510.0
2023-01-19,2023-01-01,Gold,Location 01,20603010.0
2023-01-19,2023-01-01,Gold,Location 02,95335110.0
2023-01-19,2023-01-01,Gold,Location 03,672505830.0
2023-01-19,2023-01-01,Gold,Location 04,717411750.0
2023-01-19,2023-01-01,Gold,Location 06,49353900.0
2023-01-19,2023-01-01,Gold,Location 07,114103740.0
2023-01-19,2023-01-01,Gold,Location 08,14208600.0
2023-01-19,2023-01-01,Gold,Location 09,328865010.0
2023-01-19,2023-01-01,Gold,Location 10,2481810.0
2023-01-19,2023-01-01,Gold,Location 11,69587550.0
2023-01-19,2023-01-01,Gold,Location 12,1326099600.0
2023-01-19,2023-01-01,Gold,Location 13,465689280.0
2023-01-19,2023-01-01,Gold,Location 14,612516600.0
2023-01-19,2023-01-01,Gold,Location 16,246958410.0
2023-01-19,2023-01-01,Gold,Location 17,101904510.0
2023-01-19,2023-01-01,Iron,Location 01,125109210.0
2023-01-19,2023-01-01,Iron,Location 02,413754990.0
2023-01-19,2023-01-01,Iron,Location 03,513982050.0
2023-01-19,2023-01-01,Iron,Location 04,1131227670.0
2023-01-19,2023-01-01,Iron,Location 06,571895550.0
2023-01-19,2023-01-01,Iron,Location 07,191145870.0
2023-01-19,2023-01-01,Iron,Location 08,488677530.0
2023-01-19,2023-01-01,Iron,Location 09,279594180.0
2023-01-19,2023-01-01,Iron,Location 10,15177270.0
2023-01-19,2023-01-01,Iron,Location 11,155576850.0
2023-01-19,2023-01-01,Iron,Location 12,997715730.0
2023-01-19,2023-01-01,Iron,Location 13,349146750.0
2023-01-19,2023-01-01,Iron,Location 14,468764790.0
2023-01-19,2023-01-01,Iron,Location 16,967187700.0
2023-01-19,2023-01-01,Iron,Location 17,225611760.0
2023-01-19,2023-01-01,Platinum,Location 01,45884940.0
2023-01-19,2023-01-01,Platinum,Location 02,60697470.0
2023-01-19,2023-01-01,Platinum,Location 03,629171340.0
2023-01-19,2023-01-01,Platinum,Location 04,410509230.0
2023-01-19,2023-01-01,Platinum,Location 06,2345460.0
2023-01-19,2023-01-01,Platinum,Location 07,61514220.0
2023-01-19,2023-01-01,Platinum,Location 09,318658800.0
2023-01-19,2023-01-01,Platinum,Location 11,356806380.0
2023-01-19,2023-01-01,Platinum,Location 12,763889400.0
2023-01-19,2023-01-01,Platinum,Location 13,333886590.0
2023-01-19,2023-01-01,Platinum,Location 14,436613040.0
2023-01-19,2023-01-01,Platinum,Location 16,106075170.0
2023-01-19,2023-01-01,Platinum,Location 17,27163620.0
2023-01-19,2023-01-01,Silver,Location 01,85115580.0
2023-01-19,2023-01-01,Silver,Location 02,78201510.0
2023-01-19,2023-01-01,Silver,Location 03,559605480.0
2023-01-19,2023-01-01,Silver,Location 04,535090560.0
2023-01-19,2023-01-01,Silver,Location 06,35659200.0
2023-01-19,2023-01-01,Silver,Location 07,53263740.0
2023-01-19,2023-01-01,Silver,Location 08,12961410.0
2023-01-19,2023-01-01,Silver,Location 09,162381270.0
2023-01-19,2023-01-01,Silver,Location 10,4104540.0
2023-01-19,2023-01-01,Silver,Location 11,25982430.0
2023-01-19,2023-01-01,Silver,Location 12,865189440.0
2023-01-19,2023-01-01,Silver,Location 13,190977240.0
2023-01-19,2023-01-01,Silver,Location 14,408721500.0
2023-01-19,2023-01-01,Silver,Location 16,161704650.0
2023-01-19,2023-01-01,Silver,Location 17,57394980.0
2023-01-19,2023-01-01,Unranked,Location 01,69912780.0
2023-01-19,2023-01-01,Unranked,Location 02,196076670.0
2023-01-19,2023-01-01,Unranked,Location 03,452754300.0
2023-01-19,2023-01-01,Unranked,Location 04,663081660.0
2023-01-19,2023-01-01,Unranked,Location 06,504252450.0
2023-01-19,2023-01-01,Unranked,Location 07,69569850.0
2023-01-19,2023-01-01,Unranked,Location 08,1067663880.0
2023-01-19,2023-01-01,Unranked,Location 09,150013620.0
2023-01-19,2023-01-01,Unranked,Location 10,35126670.0
2023-01-19,2023-01-01,Unranked,Location 11,79183380.0
2023-01-19,2023-01-01,Unranked,Location 12,606685020.0
2023-01-19,2023-01-01,Unranked,Location 13,130956270.0
2023-01-19,2023-01-01,Unranked,Location 14,143918640.0
2023-01-19,2023-01-01,Unranked,Location 16,345299640.0
2023-01-19,2023-01-01,Unranked,Location 17,72832200.0
2023-01-20,2023-01-01,Bronze,Location 01,91516710.0
2023-01-20,2023-01-01,Bronze,Location 02,154662810.0
2023-01-20,2023-01-01,Bronze,Location 03,334763460.0
2023-01-20,2023-01-01,Bronze,Location 04,564275130.0
2023-01-20,2023-01-01,Bronze,Location 06,83030010.0
2023-01-20,2023-01-01,Bronze,Location 07,91982190.0
2023-01-20,2023-01-01,Bronze,Location 08,21981780.0
2023-01-20,2023-01-01,Bronze,Location 09,248717250.0
2023-01-20,2023-01-01,Bronze,Location 10,17140530.0
2023-01-20,2023-01-01,Bronze,Location 11,70791450.0
2023-01-20,2023-01-01,Bronze,Location 12,776629350.0
2023-01-20,2023-01-01,Bronze,Location 13,434999220.0
2023-01-20,2023-01-01,Bronze,Location 14,382257000.0
2023-01-20,2023-01-01,Bronze,Location 16,256598640.0
2023-01-20,2023-01-01,Bronze,Location 17,114192030.0
2023-01-20,2023-01-01,Diamond,Location 01,563052870.0
2023-01-20,2023-01-01,Diamond,Location 02,103377300.0
2023-01-20,2023-01-01,Diamond,Location 03,2121917280.0
2023-01-20,2023-01-01,Diamond,Location 04,2460476670.0
2023-01-20,2023-01-01,Diamond,Location 06,3436350.0
2023-01-20,2023-01-01,Diamond,Location 07,453339060.0
2023-01-20,2023-01-01,Diamond,Location 09,913779240.0
2023-01-20,2023-01-01,Diamond,Location 10,52609020.0
2023-01-20,2023-01-01,Diamond,Location 11,226434900.0
2023-01-20,2023-01-01,Diamond,Location 12,2475229440.0
2023-01-20,2023-01-01,Diamond,Location 13,2362525650.0
2023-01-20,2023-01-01,Diamond,Location 14,1533815760.0
2023-01-20,2023-01-01,Diamond,Location 15,689430210.0
2023-01-20,2023-01-01,Diamond,Location 16,628368690.0
2023-01-20,2023-01-01,Diamond,Location 17,181186500.0
2023-01-20,2023-01-01,Gold,Location 01,20958840.0
2023-01-20,2023-01-01,Gold,Location 02,53368350.0
2023-01-20,2023-01-01,Gold,Location 03,183443700.0
2023-01-20,2023-01-01,Gold,Location 04,262159260.0
2023-01-20,2023-01-01,Gold,Location 06,17536740.0
2023-01-20,2023-01-01,Gold,Location 07,50904540.0
2023-01-20,2023-01-01,Gold,Location 08,2318190.0
2023-01-20,2023-01-01,Gold,Location 09,179567730.0
2023-01-20,2023-01-01,Gold,Location 10,3190920.0
2023-01-20,2023-01-01,Gold,Location 11,32931840.0
2023-01-20,2023-01-01,Gold,Location 12,545571570.0
2023-01-20,2023-01-01,Gold,Location 13,268347300.0
2023-01-20,2023-01-01,Gold,Location 14,297352110.0
2023-01-20,2023-01-01,Gold,Location 16,142492620.0
2023-01-20,2023-01-01,Gold,Location 17,52117950.0
2023-01-20,2023-01-01,Iron,Location 01,47575830.0
2023-01-20,2023-01-01,Iron,Location 02,192404160.0
2023-01-20,2023-01-01,Iron,Location 03,191537130.0
2023-01-20,2023-01-01,Iron,Location 04,463873110.0
2023-01-20,2023-01-01,Iron,Location 06,173200110.0
2023-01-20,2023-01-01,Iron,Location 07,51958530.0
2023-01-20,2023-01-01,Iron,Location 08,126011670.0
2023-01-20,2023-01-01,Iron,Location 09,109384500.0
2023-01-20,2023-01-01,Iron,Location 10,2550000.0
2023-01-20,2023-01-01,Iron,Location 11,62400510.0
2023-01-20,2023-01-01,Iron,Location 12,395031570.0
2023-01-20,2023-01-01,Iron,Location 13,173657850.0
2023-01-20,2023-01-01,Iron,Location 14,169152180.0
2023-01-20,2023-01-01,Iron,Location 16,291280380.0
2023-01-20,2023-01-01,Iron,Location 17,69561330.0
2023-01-20,2023-01-01,Platinum,Location 01,4295430.0
2023-01-20,2023-01-01,Platinum,Location 02,31099800.0
2023-01-20,2023-01-01,Platinum,Location 03,225001740.0
2023-01-20,2023-01-01,Platinum,Location 04,152344260.0
2023-01-20,2023-01-01,Platinum,Location 06,2700000.0
2023-01-20,2023-01-01,Platinum,Location 07,20228880.0
2023-01-20,2023-01-01,Platinum,Location 09,180440490.0
2023-01-20,2023-01-01,Platinum,Location 11,27163620.0
2023-01-20,2023-01-01,Platinum,Location 12,401644890.0
2023-01-20,2023-01-01,Platinum,Location 13,275889210.0
2023-01-20,2023-01-01,Platinum,Location 14,109636110.0
2023-01-20,2023-01-01,Platinum,Location 16,111382110.0
2023-01-20,2023-01-01,Platinum,Location 17,12627270.0
2023-01-20,2023-01-01,Silver,Location 01,21109110.0
2023-01-20,2023-01-01,Silver,Location 02,88460430.0
2023-01-20,2023-01-01,Silver,Location 03,185114100.0
2023-01-20,2023-01-01,Silver,Location 04,177698970.0
2023-01-20,2023-01-01,Silver,Location 06,14604540.0
2023-01-20,2023-01-01,Silver,Location 07,16731780.0
2023-01-20,2023-01-01,Silver,Location 08,0.0
2023-01-20,2023-01-01,Silver,Location 09,101571180.0
2023-01-20,2023-01-01,Silver,Location 10,5290920.0
2023-01-20,2023-01-01,Silver,Location 11,8986350.0
2023-01-20,2023-01-01,Silver,Location 12,338126100.0
2023-01-20,2023-01-01,Silver,Location 13,166951320.0
2023-01-20,2023-01-01,Silver,Location 14,167278140.0
2023-01-20,2023-01-01,Silver,Location 16,78359250.0
2023-01-20,2023-01-01,Silver,Location 17,25486380.0
2023-01-20,2023-01-01,Unranked,Location 01,36150000.0
2023-01-20,2023-01-01,Unranked,Location 02,52573710.0
2023-01-20,2023-01-01,Unranked,Location 03,208493610.0
2023-01-20,2023-01-01,Unranked,Location 04,165525300.0
2023-01-20,2023-01-01,Unranked,Location 06,146503200.0
2023-01-20,2023-01-01,Unranked,Location 07,19247730.0
2023-01-20,2023-01-01,Unranked,Location 08,344552580.0
2023-01-20,2023-01-01,Unranked,Location 09,126409050.0
2023-01-20,2023-01-01,Unranked,Location 10,8318250.0
2023-01-20,2023-01-01,Unranked,Location 11,40192680.0
2023-01-20,2023-01-01,Unranked,Location 12,290069910.0
2023-01-20,2023-01-01,Unranked,Location 13,66076350.0
2023-01-20,2023-01-01,Unranked,Location 14,54620490.0
2023-01-20,2023-01-01,Unranked,Location 16,99192510.0
2023-01-20,2023-01-01,Unranked,Location 17,75237330.0
2023-01-21,2023-01-01,Bronze,Location 04,4390860.0
2023-01-21,2023-01-01,Bronze,Location 10,0.0
2023-01-21,2023-01-01,Bronze,Location 11,7690350.0
2023-01-21,2023-01-01,Bronze,Location 12,1554540.0
2023-01-21,2023-01-01,Bronze,Location 14,1472730.0
2023-01-21,2023-01-01,Bronze,Location 16,981810.0
2023-01-21,2023-01-01,Diamond,Location 03,5127270.0
2023-01-21,2023-01-01,Diamond,Location 04,557700150.0
2023-01-21,2023-01-01,Diamond,Location 12,518190.0
2023-01-21,2023-01-01,Diamond,Location 14,597270.0
2023-01-21,2023-01-01,Gold,Location 03,736350.0
2023-01-21,2023-01-01,Gold,Location 04,2700000.0
2023-01-21,2023-01-01,Gold,Location 14,1636350.0
2023-01-21,2023-01-01,Iron,Location 14,2808960.0
2023-01-21,2023-01-01,Platinum,Location 03,5151750.0
2023-01-21,2023-01-01,Platinum,Location 04,1309080.0
2023-01-21,2023-01-01,Platinum,Location 11,140972940.0
2023-01-21,2023-01-01,Platinum,Location 12,3272730.0
2023-01-21,2023-01-01,Platinum,Location 16,6310920.0
2023-01-21,2023-01-01,Silver,Location 01,709080.0
2023-01-21,2023-01-01,Silver,Location 03,518190.0
2023-01-21,2023-01-01,Silver,Location 04,313650.0
2023-01-21,2023-01-01,Silver,Location 13,1063650.0
2023-01-21,2023-01-01,Silver,Location 14,1227270.0
2023-01-21,2023-01-01,Unranked,Location 04,818190.0
2023-01-21,2023-01-01,Unranked,Location 11,2004600.0
2023-01-22,2023-01-01,Iron,Location 11,2959080.0
2023-01-23,2023-01-01,Bronze,Location 14,681810.0
2023-01-23,2023-01-01,Diamond,Location 03,2650320.0
2023-01-23,2023-01-01,Diamond,Location 04,5154810.0
2023-01-24,2023-01-01,Diamond,Location 04,29419860.0
2023-01-25,2023-01-01,Bronze,Location 14,1200000.0
2023-01-25,2023-01-01,Diamond,Location 04,1936350.0
2023-01-25,2023-01-01,Diamond,Location 12,518190.0
2023-01-25,2023-01-01,Iron,Location 16,1800000.0
2023-01-25,2023-01-01,Platinum,Location 03,736350.0
2023-01-25,2023-01-01,Platinum,Location 04,8781810.0
2023-01-25,2023-01-01,Platinum,Location 14,654540.0
2023-01-25,2023-01-01,Unranked,Location 04,1004970.0
2023-01-25,2023-01-01,Unranked,Location 08,4674540.0
2023-01-26,2023-01-01,Bronze,Location 01,32011320.0
2023-01-26,2023-01-01,Bronze,Location 02,29099730.0
2023-01-26,2023-01-01,Bronze,Location 03,86548260.0
2023-01-26,2023-01-01,Bronze,Location 04,386855850.0
2023-01-26,2023-01-01,Bronze,Location 06,32089830.0
2023-01-26,2023-01-01,Bronze,Location 07,51583740.0
2023-01-26,2023-01-01,Bronze,Location 08,6204570.0
2023-01-26,2023-01-01,Bronze,Location 09,41831820.0
2023-01-26,2023-01-01,Bronze,Location 10,1963650.0
2023-01-26,2023-01-01,Bronze,Location 11,27093930.0
2023-01-26,2023-01-01,Bronze,Location 12,140991690.0
2023-01-26,2023-01-01,Bronze,Location 13,119765610.0
2023-01-26,2023-01-01,Bronze,Location 14,106571940.0
2023-01-26,2023-01-01,Bronze,Location 16,124472460.0
2023-01-26,2023-01-01,Bronze,Location 17,65280720.0
2023-01-26,2023-01-01,Diamond,Location 01,22581840.0
2023-01-26,2023-01-01,Diamond,Location 02,9259110.0
2023-01-26,2023-01-01,Diamond,Location 03,695094960.0
2023-01-26,2023-01-01,Diamond,Location 04,1467802680.0
2023-01-26,2023-01-01,Diamond,Location 07,467074920.0
2023-01-26,2023-01-01,Diamond,Location 09,41231220.0
2023-01-26,2023-01-01,Diamond,Location 10,1472730.0
2023-01-26,2023-01-01,Diamond,Location 11,45478620.0
2023-01-26,2023-01-01,Diamond,Location 12,773493480.0
2023-01-26,2023-01-01,Diamond,Location 13,601561890.0
2023-01-26,2023-01-01,Diamond,Location 14,476782590.0
2023-01-26,2023-01-01,Diamond,Location 15,321495270.0
2023-01-26,2023-01-01,Diamond,Location 16,527560890.0
2023-01-26,2023-01-01,Diamond,Location 17,84245460.0
2023-01-26,2023-01-01,Gold,Location 01,5454540.0
2023-01-26,2023-01-01,Gold,Location 02,6272730.0
2023-01-26,2023-01-01,Gold,Location 03,131213460.0
2023-01-26,2023-01-01,Gold,Location 04,98912280.0
2023-01-26,2023-01-01,Gold,Location 06,2822760.0
2023-01-26,2023-01-01,Gold,Location 07,49643040.0
2023-01-26,2023-01-01,Gold,Location 09,23550480.0
2023-01-26,2023-01-01,Gold,Location 11,9563910.0
2023-01-26,2023-01-01,Gold,Location 12,104412090.0
2023-01-26,2023-01-01,Gold,Location 13,87604980.0
2023-01-26,2023-01-01,Gold,Location 14,68114220.0
2023-01-26,2023-01-01,Gold,Location 16,48745770.0
2023-01-26,2023-01-01,Gold,Location 17,17222730.0
2023-01-26,2023-01-01,Iron,Location 01,12261840.0
2023-01-26,2023-01-01,Iron,Location 02,34238040.0
2023-01-26,2023-01-01,Iron,Location 03,54748530.0
2023-01-26,2023-01-01,Iron,Location 04,170100720.0
2023-01-26,2023-01-01,Iron,Location 06,103341750.0
2023-01-26,2023-01-01,Iron,Location 07,57163950.0
2023-01-26,2023-01-01,Iron,Location 08,69154950.0
2023-01-26,2023-01-01,Iron,Location 09,23481660.0
2023-01-26,2023-01-01,Iron,Location 10,763620.0
2023-01-26,2023-01-01,Iron,Location 11,29119020.0
2023-01-26,2023-01-01,Iron,Location 12,101303460.0
2023-01-26,2023-01-01,Iron,Location 13,63891720.0
2023-01-26,2023-01-01,Iron,Location 14,54619860.0
2023-01-26,2023-01-01,Iron,Location 16,144045180.0
2023-01-26,2023-01-01,Iron,Location 17,35134050.0
2023-01-26,2023-01-01,Platinum,Location 02,17836530.0
2023-01-26,2023-01-01,Platinum,Location 03,67835970.0
2023-01-26,2023-01-01,Platinum,Location 04,44835120.0
2023-01-26,2023-01-01,Platinum,Location 06,1104540.0
2023-01-26,2023-01-01,Platinum,Location 07,38427720.0
2023-01-26,2023-01-01,Platinum,Location 09,6995280.0
2023-01-26,2023-01-01,Platinum,Location 11,2972730.0
2023-01-26,2023-01-01,Platinum,Location 12,68834490.0
2023-01-26,2023-01-01,Platinum,Location 13,63395400.0
2023-01-26,2023-01-01,Platinum,Location 14,59964240.0
2023-01-26,2023-01-01,Platinum,Location 16,17836350.0
2023-01-26,2023-01-01,Platinum,Location 17,5972730.0
2023-01-26,2023-01-01,Silver,Location 01,17836410.0
2023-01-26,2023-01-01,Silver,Location 02,18133650.0
2023-01-26,2023-01-01,Silver,Location 03,43858470.0
2023-01-26,2023-01-01,Silver,Location 04,73794420.0
2023-01-26,2023-01-01,Silver,Location 06,1418160.0
2023-01-26,2023-01-01,Silver,Location 07,15040920.0
2023-01-26,2023-01-01,Silver,Location 09,6518190.0
2023-01-26,2023-01-01,Silver,Location 11,9845280.0
2023-01-26,2023-01-01,Silver,Location 12,118218930.0
2023-01-26,2023-01-01,Silver,Location 13,56289420.0
2023-01-26,2023-01-01,Silver,Location 14,69324180.0
2023-01-26,2023-01-01,Silver,Location 16,33280650.0
2023-01-26,2023-01-01,Silver,Location 17,12750120.0
2023-01-26,2023-01-01,Unranked,Location 01,6859140.0
2023-01-26,2023-01-01,Unranked,Location 02,5972730.0
2023-01-26,2023-01-01,Unranked,Location 03,28265220.0
2023-01-26,2023-01-01,Unranked,Location 04,135415020.0
2023-01-26,2023-01-01,Unranked,Location 06,61395450.0
2023-01-26,2023-01-01,Unranked,Location 07,12886320.0
2023-01-26,2023-01-01,Unranked,Location 08,124150770.0
2023-01-26,2023-01-01,Unranked,Location 09,7159080.0
2023-01-26,2023-01-01,Unranked,Location 10,4117920.0
2023-01-26,2023-01-01,Unranked,Location 11,15122760.0
2023-01-26,2023-01-01,Unranked,Location 12,52764360.0
2023-01-26,2023-01-01,Unranked,Location 13,18433830.0
2023-01-26,2023-01-01,Unranked,Location 14,26440920.0
2023-01-26,2023-01-01,Unranked,Location 16,77251170.0
2023-01-26,2023-01-01,Unranked,Location 17,115193430.0
2023-01-27,2023-01-01,Bronze,Location 01,66844050.0
2023-01-27,2023-01-01,Bronze,Location 02,191460060.0
2023-01-27,2023-01-01,Bronze,Location 03,375144960.0
2023-01-27,2023-01-01,Bronze,Location 04,411560880.0
2023-01-27,2023-01-01,Bronze,Location 06,80900490.0
2023-01-27,2023-01-01,Bronze,Location 07,99427890.0
2023-01-27,2023-01-01,Bronze,Location 08,20350950.0
2023-01-27,2023-01-01,Bronze,Location 09,230215440.0
2023-01-27,2023-01-01,Bronze,Location 10,8413650.0
2023-01-27,2023-01-01,Bronze,Location 11,113843250.0
2023-01-27,2023-01-01,Bronze,Location 12,586423290.0
2023-01-27,2023-01-01,Bronze,Location 13,424213200.0
2023-01-27,2023-01-01,Bronze,Location 14,584332200.0
2023-01-27,2023-01-01,Bronze,Location 16,295225680.0
2023-01-27,2023-01-01,Bronze,Location 17,62427600.0
2023-01-27,2023-01-01,Diamond,Location 01,386681340.0
2023-01-27,2023-01-01,Diamond,Location 02,47509260.0
2023-01-27,2023-01-01,Diamond,Location 03,2248162200.0
2023-01-27,2023-01-01,Diamond,Location 04,4246196880.0
2023-01-27,2023-01-01,Diamond,Location 06,600000.0
2023-01-27,2023-01-01,Diamond,Location 07,389890920.0
2023-01-27,2023-01-01,Diamond,Location 09,913406310.0
2023-01-27,2023-01-01,Diamond,Location 10,15504540.0
2023-01-27,2023-01-01,Diamond,Location 11,171210750.0
2023-01-27,2023-01-01,Diamond,Location 12,2153882880.0
2023-01-27,2023-01-01,Diamond,Location 13,2058737220.0
2023-01-27,2023-01-01,Diamond,Location 14,2181087390.0
2023-01-27,2023-01-01,Diamond,Location 15,929952660.0
2023-01-27,2023-01-01,Diamond,Location 16,504943140.0
2023-01-27,2023-01-01,Diamond,Location 17,248086470.0
2023-01-27,2023-01-01,Gold,Location 01,12040920.0
2023-01-27,2023-01-01,Gold,Location 02,52284330.0
2023-01-27,2023-01-01,Gold,Location 03,308969340.0
2023-01-27,2023-01-01,Gold,Location 04,443298630.0
2023-01-27,2023-01-01,Gold,Location 06,16036350.0
2023-01-27,2023-01-01,Gold,Location 07,65320920.0
2023-01-27,2023-01-01,Gold,Location 08,1104540.0
2023-01-27,2023-01-01,Gold,Location 09,183027180.0
2023-01-27,2023-01-01,Gold,Location 11,27490830.0
2023-01-27,2023-01-01,Gold,Location 12,483549630.0
2023-01-27,2023-01-01,Gold,Location 13,250850850.0
2023-01-27,2023-01-01,Gold,Location 14,467223480.0
2023-01-27,2023-01-01,Gold,Location 16,130140180.0
2023-01-27,2023-01-01,Gold,Location 17,24354570.0
2023-01-27,2023-01-01,Iron,Location 01,59814780.0
2023-01-27,2023-01-01,Iron,Location 02,181530540.0
2023-01-27,2023-01-01,Iron,Location 03,157140930.0
2023-01-27,2023-01-01,Iron,Location 04,491213490.0
2023-01-27,2023-01-01,Iron,Location 06,200760630.0
2023-01-27,2023-01-01,Iron,Location 07,54954570.0
2023-01-27,2023-01-01,Iron,Location 08,153977850.0
2023-01-27,2023-01-01,Iron,Location 09,121421760.0
2023-01-27,2023-01-01,Iron,Location 10,1145430.0
2023-01-27,2023-01-01,Iron,Location 11,58022040.0
2023-01-27,2023-01-01,Iron,Location 12,322076610.0
2023-01-27,2023-01-01,Iron,Location 13,141804000.0
2023-01-27,2023-01-01,Iron,Location 14,209790390.0
2023-01-27,2023-01-01,Iron,Location 16,320749080.0
2023-01-27,2023-01-01,Iron,Location 17,66286170.0
2023-01-27,2023-01-01,Platinum,Location 01,4308930.0
2023-01-27,2023-01-01,Platinum,Location 02,10872270.0
2023-01-27,2023-01-01,Platinum,Location 03,211959510.0
2023-01-27,2023-01-01,Platinum,Location 04,225181980.0
2023-01-27,2023-01-01,Platinum,Location 07,16609110.0
2023-01-27,2023-01-01,Platinum,Location 09,191281590.0
2023-01-27,2023-01-01,Platinum,Location 10,872730.0
2023-01-27,2023-01-01,Platinum,Location 11,45477210.0
2023-01-27,2023-01-01,Platinum,Location 12,362729220.0
2023-01-27,2023-01-01,Platinum,Location 13,182133780.0
2023-01-27,2023-01-01,Platinum,Location 14,198307020.0
2023-01-27,2023-01-01,Platinum,Location 16,42097980.0
2023-01-27,2023-01-01,Platinum,Location 17,13854510.0
2023-01-27,2023-01-01,Silver,Location 01,10745460.0
2023-01-27,2023-01-01,Silver,Location 02,75978810.0
2023-01-27,2023-01-01,Silver,Location 03,176624700.0
2023-01-27,2023-01-01,Silver,Location 04,194548260.0
2023-01-27,2023-01-01,Silver,Location 06,15358740.0
2023-01-27,2023-01-01,Silver,Location 07,32249970.0
2023-01-27,2023-01-01,Silver,Location 08,1704540.0
2023-01-27,2023-01-01,Silver,Location 09,110304150.0
2023-01-27,2023-01-01,Silver,Location 10,3068190.0
2023-01-27,2023-01-01,Silver,Location 11,16377270.0
2023-01-27,2023-01-01,Silver,Location 12,260521470.0
2023-01-27,2023-01-01,Silver,Location 13,92018730.0
2023-01-27,2023-01-01,Silver,Location 14,248227440.0
2023-01-27,2023-01-01,Silver,Location 16,72436530.0
2023-01-27,2023-01-01,Silver,Location 17,16595610.0
2023-01-27,2023-01-01,Unranked,Location 01,19210890.0
2023-01-27,2023-01-01,Unranked,Location 02,39225060.0
2023-01-27,2023-01-01,Unranked,Location 03,181718670.0
2023-01-27,2023-01-01,Unranked,Location 04,390530280.0
2023-01-27,2023-01-01,Unranked,Location 06,137374890.0
2023-01-27,2023-01-01,Unranked,Location 07,23001780.0
2023-01-27,2023-01-01,Unranked,Location 08,299551920.0
2023-01-27,2023-01-01,Unranked,Location 09,38209020.0
2023-01-27,2023-01-01,Unranked,Location 10,15407610.0
